col_id :,str3 :,composition :,lata :,latb :,latc :,cu-o_a :,cu-o_p* :,d_la :,lata* :,cu-o_p :
151729,Hg1201,Ba2Cu1Hg1O4.194,3.8792,3.8792,9.5244,2.7782,1.9396,,3.8792,1.9396
87335,Hg1201,Ba2Cu1Hg0.992O4.0388,3.8839,3.8839,9.538,2.89,1.9419,,3.8839,1.94195
79041,Hg1201,Ba2Cu1Hg1O4.23,3.8731,3.8731,9.4829,2.75,1.9365,,3.8731,1.93655
82055,Hg1201,Ba2Cu1Hg0.99O4.1,3.8888,3.8888,9.5464,2.8123,1.9444,,3.8888,1.9444
85394,Hg1201,Ba2Cu1Hg1O4.27,3.8793,3.8793,9.505,2.7374,1.9396,,3.8793,1.93965
74085,Hg1201,Sr1.5La0.5Cu1Hg0.5Bi0.5O5,3.7753,3.7753,8.8765,2.4144,1.8876,,3.7753,1.88765
82921,Hg1201,Ba2Ce0.15Cu1Hg0.85O4.15,3.8801,3.8801,9.495,2.8295,1.94,,3.8801,1.94005
291056,Hg1201,Ba2Cu1Re0.14Hg0.86O5.62,3.872,3.872,9.42,2.7421,1.936,,3.872,1.936
74094,Hg1201,Sr1.2La0.8Cu1Hg0.5Pb0.5O5,3.7908,3.7908,8.6915,2.0077,1.8954,,3.7908,1.8954
79056,Hg1201,Ba2Cu1Hg0.96O4.34,3.8639,3.8639,9.4771,2.7388,1.9319,,3.8639,1.93195
75720,Hg1201,Ba2Cu1Hg1O4,3.8791,3.8791,9.5159,2.7891,1.9395,,3.8791,1.93955
88783,Hg1201,Ba2Cu1Hg1O4.09,3.8777,3.8777,9.5054,2.7565,1.9388,,3.8777,1.93885
87312,Hg1201,Ba2Cu1Hg0.91O4.12,3.8851,3.8851,9.5202,2.7798,1.9425,,3.8851,1.94255
291057,Hg1201,Ba2Cu1Re0.15Hg0.817O6.29,3.876,3.876,9.39,2.7324,1.938,,3.876,1.938
50113,Hg1201,Ba2Cu1Hg1O4.139,3.88407,3.88407,9.5425,2.794,1.942,,3.88407,1.942035
86993,Hg1201,Ba2Tl0.21Cu1Hg0.78O4.21,3.876,3.876,9.4937,2.7151,1.938,,3.876,1.938
41642,Hg1201,Ba2Cu1Hg1O4.21,3.8762,3.8762,9.5217,2.7803,1.9381,,3.8762,1.9381
82021,Hg1201,Ba2Cu1Hg0.743S0.184O4.486,3.8986,3.8986,9.2966,2.6467,1.9493,,3.8986,1.9493
41640,Hg1201,Ba2Cu1Hg1O4.04,3.8955,3.8955,9.5331,2.7998,1.9477,,3.8955,1.94775
85393,Hg1201,Ba2Cu1Hg1O4.01,3.8776,3.8776,9.5005,2.7456,1.9388,,3.8776,1.9388
50114,Hg1201,Ba2Cr0.088Cu1Hg0.822O4.267,3.90671,3.90671,9.4237,2.7517,1.9533,,3.90671,1.953355
41641,Hg1201,Ba2Cu1Hg1O4.23,3.8751,3.8751,9.5175,2.7667,1.9375,,3.8751,1.93755
81062,Hg1201,Ba2Cu1Hg1O4.12,3.8732,3.8732,9.48088,2.7797,1.9366,,3.8732,1.9366
83153,Hg1201,Ba2Cu1Hg1O4.066,3.874,3.874,9.504,2.7637,1.937,,3.874,1.937
50116,Hg1201,Ba2Cr0.284Cu1Hg0.633O4.6314,3.93882,3.93882,9.25,2.6519,1.9694,,3.93882,1.96941
50264,Hg1201,Ba1Sr1V0.332Cu1Hg0.67O4.66,3.8523,3.8523,9.077,2.5778,1.9261,,3.8523,1.92615
79043,Hg1201,Ba2Cu1Hg0.92C0.084O4.19,3.873,3.873,9.4829,2.7272,1.9365,,3.873,1.9365
79042,Hg1201,Ba2Cu1Hg0.93C0.074O4.288,3.8731,3.8731,9.4829,2.7462,1.9365,,3.8731,1.93655
89369,Hg1201,Ba2Cu1Hg1O4.136,3.88367,3.88367,9.5298,2.7846,1.9418,,3.88367,1.941835
77477,Hg1201,Ba2Cu1Hg1O4.1,3.87766,3.87766,9.5073,2.7951,1.9388,,3.87766,1.93883
87066,Hg1201,Ba2V0.2268Cu1Hg0.773O4.5692,3.8895,3.8895,9.3451,2.7334,1.9447,,3.8895,1.94475
86524,Hg1201,Ba2Cu1Hg0.969O4.08,3.8907,3.8907,9.5563,2.7999,1.9453,,3.8907,1.94535
86992,Hg1201,Ba2Tl0.1Cu1Hg0.9O4.1,3.8771,3.8771,9.4885,2.6947,1.9385,,3.8771,1.93855
74075,Hg1201,Ba2Cu1Hg1O4.063,3.8829,3.8829,9.5129,2.7844,1.9414,,3.8829,1.94145
63317,T,Sr0.3La3.7Cu2O8,3.7793,3.7793,13.226,2.4124,1.8896,3.6911,3.7793,1.88965
92375,T,Sr0.3La3.7Zn0.2Cu1.8O8,3.7932,3.7932,13.1147,2.3632,1.8966,3.6353,3.7932,1.8966
65875,T,K0.4La3.6Cu2O8,3.7833,3.7833,13.1918,2.414,1.8916,3.6699,3.7833,1.89165
75780,T,Rb0.11La3.89Cu2O8,3.7858,3.7858,13.2759,2.4427,1.8929,3.7103,3.7858,1.8929
84446,T,Sr0.3La3.7Mg0.4Cu1.6O8,3.78587,3.78587,13.1918,2.4338,1.8929,3.691,3.78587,1.892935
259585,T,Sr0.3La3.7Cu1.7Ni0.3O8,3.788999,3.788999,13.1436,2.3527,1.8944,3.646,3.788999,1.8944995
68378,T,Ba0.3La3.7Cu2O8,3.7873,3.7873,13.2883,2.4291,1.8936,3.7039,3.7873,1.89365
68892,T,Ca0.2La3.8Cu2O8,3.8015,3.8015,13.2176,2.4373,1.9007,3.7934,3.8015,1.90075
68893,T,Ca0.4La3.6Cu2O8,3.8013,3.8013,13.2325,2.4228,1.9006,3.7183,3.8013,1.90065
92378,T,Sr0.3La3.7Cu1.98Ni0.02O8,3.7701,3.7701,13.2003,2.5621,1.885,3.6696,3.7701,1.88505
92383,T,Sr0.3La3.7Mg0.1Cu1.9O8,3.7771,3.7771,13.1981,2.464,1.8885,3.6637,3.7771,1.88855
62608,T,Sr0.3La3.7Cu2O8,3.7966,3.7966,13.186,2.4064,1.8983,3.6672,3.7966,1.8983
184668,T,Sr0.66La3.34Ti0.12Cu1.88O8,3.7749,3.7749,13.222,2.4064,1.8874,3.6757,3.7749,1.88745
90704,T,Sr0.3La3.16Cu2Pb0.54O8,3.7802,3.7802,13.212,2.4151,1.8901,3.6544,3.7802,1.8901
83123,T,Sr0.3La3.7Zn0.2Cu1.8O8,3.79346,3.79346,13.1533,2.3649,1.8967,3.6487,3.79346,1.89673
259583,T,Sr0.3La3.7Cu1.78Ni0.22O8,3.78515,3.78515,13.1706,2.3838,1.8925,3.6561,3.78515,1.892575
74148,T,Sr0.34La3.66Cu2O8,3.7712,3.7712,13.2196,2.4086,1.8856,3.6882,3.7712,1.8856
184666,T,Sr0.54La3.46Ti0.12Cu1.88O8,3.7784,3.7784,13.208,2.4038,1.8892,3.6718,3.7784,1.8892
85269,T,Sr0.3La3.7Cu2O8,3.7752,3.7752,13.2274,2.4153,1.8876,3.6798,3.7752,1.8876
84444,T,Sr0.3La3.7Mg0.1Cu1.9O8,3.7769,3.7769,13.1979,2.4244,1.8884,3.661,3.7769,1.88845
236446,T,Sr1.6844La2.3152Cu2O6.9552,3.759,3.759,13.007,2.1974,1.8795,3.7077,3.759,1.8795
65383,T,Sr0.3La3.7Cu2O7.92,3.7749,3.7749,13.2231,2.4145,1.8874,3.6866,3.7749,1.88745
68894,T,La4Cu1Ni1O8,3.8512,3.8512,13.001,2.3323,1.9256,3.6454,3.8512,1.9256
65804,T,Sr0.192La3.736Cu2O7.56,3.789,3.789,13.207,2.4063,1.8945,3.6699,3.789,1.8945
65848,T,Sr0.4La3.6Co0.03Cu1.97O8,3.77547,3.77547,13.2463,2.4028,1.8877,3.6983,3.77547,1.887735
69247,T,Sr0.3La3.7Cu2O8,3.7745,3.7745,13.2404,2.4044,1.8872,3.694,3.7745,1.88725
259587,T,Sr0.3La3.7Cu1.62Ni0.38O8,3.79253,3.79253,13.1202,2.3485,1.8962,3.6342,3.79253,1.896265
10252,T,Sr2La2Cu2O8,3.765,3.765,13.27,2.2426,1.8825,3.7155,3.765,1.8825
41643,T,La4Cu2O8,3.7817,3.7817,13.2487,2.4165,1.8908,3.6884,3.7817,1.89085
84443,T,Sr0.3La3.7Cu2O8,3.77081,3.77081,13.2174,2.4068,1.8854,3.6797,3.77081,1.885405
90707,T,Sr0.3La3.7Zn0.32Cu1.68O7.88,3.8213,3.8213,13.242,2.4299,1.9106,3.6759,3.8213,1.91065
65851,T,Sr0.4La3.6Co0.2Cu1.8O8,3.78493,3.78493,13.1718,2.384,1.8924,3.6538,3.78493,1.892465
92382,T,Sr0.3La3.7Cu1.4Ni0.6O8,3.8025,3.8025,13.0655,2.374,1.9012,3.6034,3.8025,1.90125
85370,T,Sr1.3La2.7Cu1.8Ru0.2O8,3.7846,3.7846,13.1921,2.3178,1.8923,3.7017,3.7846,1.8923
85374,T,Sr1.76La2.24Cu1.4Ru0.6O8,3.8318,3.8318,13.084,2.3184,1.9159,3.6844,3.8318,1.9159
65850,T,Sr0.4La3.6Co0.07Cu1.93O8,3.77682,3.77682,13.2382,2.4027,1.8884,3.6934,3.77682,1.88841
259574,T,Sr0.3La3.7Cu2O8,3.77709,3.77709,13.2368,2.4024,1.8885,3.6904,3.77709,1.888545
92380,T,Sr0.3La3.7Cu1.8Ni0.2O8,3.7803,3.7803,13.1576,2.4552,1.8901,3.6604,3.7803,1.89015
83122,T,Sr0.3La3.7Zn0.1Cu1.9O8,3.78001,3.78001,13.19528,2.3883,1.89,3.663,3.78001,1.890005
184665,T,Sr0.3La3.7Ti0.12Cu1.88O8,3.7958,3.7958,13.165,2.396,1.8979,3.6598,3.7958,1.8979
68891,T,Ba0.4La3.6Cu2O8,3.8008,3.8008,13.3608,2.4022,1.9004,3.765,3.8008,1.9004
74147,T,Sr0.2La3.8Cu2O8,3.779,3.779,13.1962,2.4096,1.8895,3.6685,3.779,1.8895
74152,T,Sr0.34La3.66Cu2O8,3.8059,3.8059,13.2516,2.4263,1.9029,3.7236,3.8059,1.90295
172823,T,Sr1La3Mn1Cu1O8,3.7927,3.7927,13.2003,2.343,1.8963,3.7356,3.7927,1.89635
259582,T,Sr0.3La3.7Cu1.82Ni0.18O8,3.78365,3.78365,13.1825,2.386,1.8918,3.662,3.78365,1.891825
69280,T,Sr0.16La3.84Cu2O8,3.7825,3.7825,13.152,2.3884,1.8912,3.6486,3.7825,1.89125
92381,T,Sr0.3La3.7Cu1.6Ni0.4O8,3.7823,3.7823,13.0848,2.4337,1.8911,3.6297,3.7823,1.89115
74151,T,Sr0.34La3.66Cu2O8,3.7769,3.7769,13.23,2.4078,1.8884,3.6938,3.7769,1.88845
259581,T,Sr0.3La3.7Cu1.86Ni0.14O8,3.7825,3.7825,13.1939,2.4012,1.8912,3.6679,3.7825,1.89125
84447,T,Sr0.3La3.7Mg0.6Cu1.4O8,3.8124,3.8124,13.0817,2.3376,1.9062,3.6157,3.8124,1.9062
184669,T,Sr0.78La3.22Ti0.12Cu1.88O8,3.7724,3.7724,13.224,2.4067,1.8862,3.6762,3.7724,1.8862
89107,T,K0.4La3.6Cu2O8,3.7683,3.7683,13.259,2.4091,1.8841,3.7072,3.7683,1.88415
74153,T,Sr0.34La3.66Cu2O8,3.8363,3.8363,13.2708,2.4829,1.9181,3.7662,3.8363,1.91815
90706,T,Sr0.3La3.7Zn0.26Cu1.74O7.82,3.815,3.815,13.305,2.4121,1.9075,3.6987,3.815,1.9075
92373,T,Sr0.3La3.7Cu2O8,3.7798,3.7798,13.2452,2.4304,1.8899,3.6795,3.7798,1.8899
62948,T,Sr0.4La3.6Cu2O8,3.774,3.774,13.221,2.1814,1.887,3.7812,3.774,1.887
92374,T,Sr0.3La3.7Zn0.1Cu1.9O8,3.7775,3.7775,13.1942,2.5108,1.8887,3.6627,3.7775,1.88875
202492,T,Sr0.3La3.7Cu2O7.2,3.7748,3.7748,13.2213,2.4049,1.8874,3.6728,3.7748,1.8874
259584,T,Sr0.3La3.7Cu1.74Ni0.26O8,3.78745,3.78745,13.1548,2.3547,1.8937,3.6465,3.78745,1.893725
259579,T,Sr0.3La3.7Cu1.9Ni0.1O8,3.78088,3.78088,13.2068,2.4036,1.8904,3.6714,3.78088,1.89044
68039,T,Sr0.3La3.7Cu2O8,3.787,3.787,13.225,2.4115,1.8935,3.6834,3.787,1.8935
74149,T,Sr0.4La3.6Cu2O8,3.7653,3.7653,13.2361,2.4089,1.8826,3.7008,3.7653,1.88265
85369,T,Sr0.4La3.6Cu1.8Ru0.2O8,3.8078,3.8078,13.1608,2.3821,1.9039,3.656,3.8078,1.9039
92386,T,Sr0.3La3.7Mg0.6Cu1.4O8,3.8125,3.8125,13.0821,2.377,1.9062,3.608,3.8125,1.90625
259575,T,Sr0.3La3.7Cu1.984Ni0.016O8,3.77767,3.77767,13.2321,2.395,1.8888,3.6891,3.77767,1.888835
92379,T,Sr0.3La3.7Cu1.92Ni0.08O8,3.7706,3.7706,13.1801,2.4607,1.8853,3.6587,3.7706,1.8853
39313,T,Sr0.4La3.6Cu2O7.8,3.764,3.764,13.17,2.3969,1.882,3.6612,3.764,1.882
83121,T,Sr0.3La3.7Cu2O8,3.77785,3.77785,13.246,2.412,1.8889,3.6876,3.77785,1.888925
69279,T,Sr0.16La3.84Cu2O8,3.7866,3.7866,13.128,2.3932,1.8933,3.6406,3.7866,1.8933
84445,T,Sr0.3La3.7Mg0.2Cu1.8O8,3.77903,3.77903,13.1604,2.4386,1.8895,3.6691,3.77903,1.889515
65847,T,Sr0.4La3.6Cu2O8,3.77409,3.77409,13.2579,2.4089,1.887,3.7042,3.77409,1.887045
92385,T,Sr0.3La3.7Mg0.4Cu1.6O8,3.7861,3.7861,13.1926,2.4538,1.893,3.6596,3.7861,1.89305
62958,T,Sr0.24La3.76Cu2O8,3.7798,3.7798,13.216,2.392,1.8899,3.6896,3.7798,1.8899
62947,T,Ba0.4La3.6Cu2O8,3.779,3.779,13.171,2.1732,1.8895,3.7669,3.779,1.8895
87977,T,Ba0.26La3.74Cu2O8,3.7782,3.7782,13.242,2.4299,1.8891,3.6759,3.7782,1.8891
63337,T,Sr0.3La3.7Cu2O7.88,3.778,3.778,13.237,2.4117,1.889,3.6931,3.778,1.889
239894,T,Ca0.3La3.7Cu1.8Ni0.2O8,3.7855,3.7855,13.1246,2.4254,1.8927,3.6512,3.7855,1.89275
87973,T,Sr0.212La3.788Cu2O8,3.7802,3.7802,13.218,2.4255,1.8901,3.6746,3.7802,1.8901
180516,T,Sr1.2La2.8Cu2O7.76,3.76265,3.76265,13.2329,2.3898,1.8813,3.7237,3.76265,1.881325
65873,T,Na0.12La3.88Cu2O8,3.7796,3.7796,13.1871,2.4132,1.8898,3.6712,3.7796,1.8898
69281,T,Sr0.16La3.84Cu2O8,3.7812,3.7812,13.155,2.3757,1.8906,3.6505,3.7812,1.8906
65849,T,Sr0.4La3.6Co0.05Cu1.95O8,3.77664,3.77664,13.2386,2.4001,1.8883,3.6935,3.77664,1.88832
84491,T,Sr0.2La3.8Cu2O8,3.7838,3.7838,13.2302,2.4171,1.8919,3.6859,3.7838,1.8919
259577,T,Sr0.3La3.7Cu1.94Ni0.06O8,3.77939,3.77939,13.2181,2.4189,1.8896,3.6825,3.77939,1.889695
239893,T,Ca0.3La3.7Cu2O8,3.7815,3.7815,13.1728,2.4251,1.8907,3.6673,3.7815,1.89075
85371,T,Sr1.84La2.16Cu1.8Ru0.2O8,3.7908,3.7908,13.0594,2.2331,1.8954,3.6879,3.7908,1.8954
108997,T,Li1La4Cu1O8,3.731,3.731,13.2,2.0196,1.8655,3.8076,3.731,1.8655
180519,T,Sr2La2Cu2O7.28,3.76215,3.76215,13.0373,2.1889,1.881,3.6947,3.76215,1.881075
90705,T,Sr0.3La3.62Cu2O7.7,3.7985,3.7985,13.312,2.4281,1.8992,3.714,3.7985,1.89925
259578,T,Sr0.3La3.7Cu1.92Ni0.08O8,3.78014,3.78014,13.213,2.4047,1.89,3.6784,3.78014,1.89007
259580,T,Sr0.3La3.7Cu1.88Ni0.12O8,3.78131,3.78131,13.2006,2.4025,1.8906,3.6671,3.78131,1.890655
239895,T,Ca0.3La3.7Cu1.6Ni0.4O8,3.7945,3.7945,13.0753,2.394,1.8972,3.627,3.7945,1.89725
85373,T,Sr1.48La2.52Cu1.4Ru0.6O8,3.8333,3.8333,13.0743,2.3246,1.9166,3.6555,3.8333,1.91665
180517,T,Sr1.2La2.8Cu2O8,3.7601,3.7601,13.1881,2.263,1.88,3.69,3.7601,1.88005
92384,T,Sr0.3La3.7Mg0.2Cu1.8O8,3.7789,3.7789,13.1599,2.4556,1.8894,3.661,3.7789,1.88945
259576,T,Sr0.3La3.7Cu1.96Ni0.04O8,3.77858,3.77858,13.2245,2.3936,1.8892,3.679,3.77858,1.88929
259586,T,Sr0.3La3.7Cu1.66Ni0.34O8,3.79104,3.79104,13.1302,2.3503,1.8955,3.637,3.79104,1.89552
184667,T,Sr0.62La3.38Ti0.12Cu1.88O8,3.7754,3.7754,13.221,2.4062,1.8877,3.6754,3.7754,1.8877
80071,Hg2212,Ba4Ca0.8Y1.2Cu4Hg4O15.52,3.8545,3.8545,29.034,2.5085,1.9343,,3.8545,1.92725
91265,Hg2212,Sr4Ce1Dy3Cu4Hg1.5W0.5O18,3.8161,3.8161,29.087,2.1058,1.9095,,3.8161,1.90805
55653,Hg2212,Ba1.2Sr2.8Y2.68Cu4Hg3.32O15.76,3.83195,3.83195,28.4176,2.3131,1.9304,,3.83195,1.915975
96049,Hg2212,Ba4Ca0.52Y1.48Cu4Hg3.5Pb0.5O15.968,3.85742,3.85742,28.8228,2.4435,1.9375,,3.85742,1.92871
91267,Hg2212,Sr4Ce1Er3Cu4Hg1.5W0.5O18,3.8058,3.8058,29.008,2.1465,1.9037,,3.8058,1.9029
91266,Hg2212,Sr4Ce1Ho3Cu4Hg1.5W0.5O18,3.8124,3.8124,29.043,2.1578,1.9078,,3.8124,1.9062
87039,Hg2212,Ba4Tl3.9Cu4Hg2.1O16,3.889,3.889,29.04,2.4393,1.9479,,3.889,1.9445
85227,Hg2212,Ba4Ca0.4Y1.6Tl1.2Cu4Hg2.8O16.016,3.86253,3.86253,28.9629,2.4627,1.9423,,3.86253,1.931265
89135,Hg2212,Ba4Ca0.4Y1.6Tl1.2Cu4Hg2.8O16,3.86436,3.86436,29.0078,2.3061,1.9413,,3.86436,1.93218
96048,Hg2212,Ba4Y2Cu4Hg3.5Pb0.5O16.048,3.86716,3.86716,28.8433,2.441,1.9445,,3.86716,1.93358
78315,Hg2212,Ba4Y2Cu4Hg4O15.1008,3.8606,3.8606,28.915,2.4693,1.9394,,3.8606,1.9303
91158,Hg2212,Ba1.28Sr3.28Ca1.44Tl2.6Cu4Hg1.4O16,3.81884,3.81884,28.86649,2.2342,1.9148,,3.81884,1.90942
83183,Hg2212,Ba4Ca0.6Y1.4Tl1.2Cu4Hg2.8O15.04,3.8607,3.8607,29.04259,2.3175,1.9387,,3.8607,1.93035
83182,Hg2212,Ba4Ca0.34Y1.66Tl1.2Cu4Hg2.8O15.52,3.8632,3.8632,28.97899,2.4342,1.935,,3.8632,1.9316
89133,Hg2212,Ba4Ca0.4Y1.6Tl1.2Cu4Hg2.8O16,3.86436,3.86436,28.9881,2.3857,1.9525,,3.86436,1.93218
50651,Hg2212,Ba2Ca6Cu7.192Re0.0803Hg0.922O16.2,3.8514,3.8514,28.388,2.404,1.9258,,3.8514,1.9257
80069,Hg2212,Ba4Pr0.58Y2Cu4Hg3.42O16.2992,3.8746,3.8746,28.894,2.4791,1.9497,,3.8746,1.9373
96050,Hg2212,Ba4Ca0.84Y1.16Cu4Hg3Pb1O16,3.85554,3.85554,28.9314,2.4892,1.9343,,3.85554,1.92777
85239,Hg2212,Ba4Ca0.4Y1.6Tl1.2Cu4Hg2.8O16.016,3.86264,3.86264,28.9639,2.4619,1.9423,,3.86264,1.93132
91157,Hg2212,Ba1.48Sr2.7Ca1.82Tl2.6Cu4Hg1.4O15.8,3.81766,3.81766,28.911,2.4776,1.911,,3.81766,1.90883
83181,Hg2212,Ba4Ca0.18Y1.82Tl1.2Cu4Hg2.8O15.52,3.86607,3.86607,28.95239,2.2988,1.9455,,3.86607,1.933035
89134,Hg2212,Ba4Ca0.4Y1.6Tl1.2Cu4Hg2.8O16,3.86433,3.86433,29.00809,2.251,1.941,,3.86433,1.932165
55654,Hg2212,Sr4Y2.96Cu4Hg3.04O15.6,3.8112,3.8112,28.136,2.2733,1.9172,,3.8112,1.9056
89136,Hg2212,Ba4Ca0.4Y1.6Tl1.2Cu4Hg2.8O16,3.86575,3.86575,29.01849,2.2228,1.9392,,3.86575,1.932875
80070,Hg2212,Ba4Y2Cu4Hg4O15.0992,3.8606,3.8606,28.915,2.4693,1.9394,,3.8606,1.9303
84286,Hg1212,Ba1.59Sr0.51Ca0.9V0.31Cu2Hg0.69O7,3.8628,3.8628,12.407,2.7729,1.9314,,3.8628,1.9314
84285,Hg1212,Ba1.7Sr0.3Ca1V0.33Cu2Hg0.67O7,3.8643,3.8643,12.445,2.8163,1.9324,,3.8643,1.93215
